line,plate,enter,exit,expected,computed,diff,duration_minutes,reason
3,ATK-2290,2025-01-31 13:04,2025-02-01 07:33,1000,640,-360,1109,跨日計費切割差異
4,RAE-3129,2025-03-21 13:17,2025-03-24 11:52,3290,3320,30,4235,跨日計費切割差異
41,BXH-0819,2025-05-03 13:39,2025-05-03 22:07,120,680,560,508,週末/假日判定差異
42,BQY-5017,2025-05-03 15:13,2025-05-03 15:45,40,80,40,32,週末/假日判定差異
47,5596-S2,2025-05-03 18:45,2025-05-03 20:16,120,160,40,91,週末/假日判定差異
50,RDZ-3393,2025-05-04 11:28,2025-05-04 11:59,40,80,40,31,週末/假日判定差異
96,BLH-3938,2025-05-07 19:37,2025-05-07 22:15,150,160,10,158,取整/單位時間差異
104,BVH-5905,2025-05-08 16:32,2025-05-08 17:33,60,90,30,61,費率/矩陣設定差異
112,BXD-5582,2025-05-09 10:51,2025-05-09 11:22,30,60,30,31,費率/矩陣設定差異
120,2125-YN,2025-05-09 15:55,2025-05-09 18:56,180,210,30,181,費率/矩陣設定差異
132,RBU-8800,2025-05-10 16:59,2025-05-10 19:37,200,240,40,158,週末/假日判定差異
180,EBC-3936,2025-05-14 13:10,2025-05-14 13:41,30,60,30,31,費率/矩陣設定差異
213,BMD-1111,2025-05-16 15:58,2025-05-16 17:58,90,120,30,120,費率/矩陣設定差異
232,ATB-6823,2025-05-17 18:36,2025-05-17 20:37,160,200,40,121,週末/假日判定差異
256,BXL-8150,2025-05-19 21:46,2025-05-19 23:19,40,50,10,93,取整/單位時間差異
296,5N-3339,2025-05-23 11:41,2025-05-23 12:42,60,90,30,61,費率/矩陣設定差異
315,AYD-6833,2025-05-24 14:12,2025-05-24 15:13,80,120,40,61,週末/假日判定差異
326,AMY-0785,2025-05-24 20:05,2025-05-24 22:28,160,170,10,143,週末/假日判定差異
327,BYY-6006,2025-05-25 07:31,2025-05-25 08:08,50,10,-40,37,週末/假日判定差異
339,2198-J6,2025-05-25 18:09,2025-05-25 19:11,80,120,40,62,週末/假日判定差異
353,HQ-5858,2025-05-26 15:47,2025-05-26 16:18,30,60,30,31,費率/矩陣設定差異
372,AGP-0620,2025-05-27 19:19,2025-05-27 20:20,60,90,30,61,費率/矩陣設定差異
374,BXU-8032,2025-05-27 20:45,2025-05-27 23:40,100,110,10,175,取整/單位時間差異
393,EAF-3388,2025-05-29 20:15,2025-05-29 20:46,30,60,30,31,費率/矩陣設定差異
396,BEM-9278,2025-05-30 12:24,2025-05-30 13:22,80,60,-20,58,費率/矩陣設定差異
397,BQY-0331,2025-05-30 12:49,2025-05-30 13:23,80,60,-20,34,費率/矩陣設定差異
398,BUN-9893,2025-05-30 13:35,2025-05-30 14:04,40,30,-10,29,取整/單位時間差異
399,BUX-2252,2025-05-30 13:36,2025-05-30 14:22,80,60,-20,46,費率/矩陣設定差異
400,BXE-7856,2025-05-30 14:06,2025-05-30 15:46,160,120,-40,100,費率/矩陣設定差異
401,TDU-9785,2025-05-30 14:34,2025-05-30 15:31,80,60,-20,57,費率/矩陣設定差異
402,BTR-9086,2025-05-30 16:10,2025-05-30 18:43,240,180,-60,153,費率/矩陣設定差異
403,APP-1273,2025-05-30 16:28,2025-05-30 17:08,80,60,-20,40,費率/矩陣設定差異
404,RDZ-5920,2025-05-30 17:17,2025-05-30 19:00,160,120,-40,103,費率/矩陣設定差異
405,ASE-8256,2025-05-30 18:50,2025-05-30 20:14,120,90,-30,84,費率/矩陣設定差異
406,AWK-6211,2025-05-30 19:05,2025-05-30 20:30,120,90,-30,85,費率/矩陣設定差異
407,BPP-6887,2025-05-30 20:19,2025-05-30 22:49,170,130,-40,150,費率/矩陣設定差異
408,BEM-7918,2025-05-30 20:46,2025-05-30 22:17,120,100,-20,91,費率/矩陣設定差異
416,EAG-7169,2025-05-31 14:31,2025-05-31 18:03,40,320,280,212,週末/假日判定差異
417,BYA-2572,2025-05-31 15:08,2025-05-31 18:40,160,320,160,212,週末/假日判定差異
437,AKE-3331,2025-06-01 19:48,2025-06-01 23:28,210,220,10,220,週末/假日判定差異
462,EAA-1261,2025-06-03 18:53,2025-06-03 19:24,30,60,30,31,費率/矩陣設定差異
465,BPJ-7396,2025-06-04 08:58,2025-06-04 10:28,120,90,-30,90,費率/矩陣設定差異
469,BCG-9603,2025-06-04 12:37,2025-06-04 14:09,90,120,30,92,費率/矩陣設定差異
489,EAF-1688,2025-06-06 11:53,2025-06-06 12:24,30,60,30,31,費率/矩陣設定差異
505,AND-0566,2025-06-06 21:55,2025-06-06 22:54,30,40,10,59,取整/單位時間差異
530,BQX-6758,2025-06-08 14:53,2025-06-08 18:21,120,280,160,208,週末/假日判定差異
534,EAB-6673,2025-06-08 18:01,2025-06-08 21:25,200,280,80,204,週末/假日判定差異
540,ALL-1636,2025-06-09 13:29,2025-06-09 21:59,30,510,480,510,費率/矩陣設定差異
543,BAL-2360,2025-06-09 14:05,2025-06-09 15:13,60,90,30,68,費率/矩陣設定差異
573,BUK-2923,2025-06-11 19:36,2025-06-12 11:35,150,460,310,959,跨日計費切割差異
588,BWK-7908,2025-06-13 12:05,2025-06-13 16:05,30,240,210,240,費率/矩陣設定差異
595,BZC-0210,2025-06-13 17:03,2025-06-13 17:34,30,60,30,31,費率/矩陣設定差異
599,BJN-3600,2025-06-13 20:57,2025-06-13 23:36,100,110,10,159,取整/單位時間差異
617,BQS-2068,2025-06-14 21:47,2025-06-14 23:45,50,60,10,118,週末/假日判定差異
631,BQS-0862,2025-06-15 18:31,2025-06-15 19:32,80,120,40,61,週末/假日判定差異
644,BTT-3857,2025-06-16 17:46,2025-06-16 19:35,90,120,30,109,費率/矩陣設定差異
661,BBG-9580,2025-06-18 11:57,2025-06-18 12:28,30,60,30,31,費率/矩陣設定差異
674,BSQ-5228,2025-06-18 21:41,2025-06-18 22:26,30,40,10,45,取整/單位時間差異
678,BPJ-6200,2025-06-19 12:27,2025-06-19 13:32,30,90,60,65,費率/矩陣設定差異
692,EAG-2323,2025-06-20 13:08,2025-06-20 19:40,90,420,330,392,費率/矩陣設定差異
740,EAG-7169,2025-06-23 17:58,2025-06-23 18:29,30,60,30,31,費率/矩陣設定差異
745,BXU-8032,2025-06-23 20:52,2025-06-23 23:26,100,110,10,154,取整/單位時間差異
759,EBH-6051,2025-06-25 00:44,2025-06-25 16:52,620,590,-30,968,費率/矩陣設定差異
766,5670-J7,2025-06-26 11:32,2025-06-26 14:45,180,210,30,193,費率/矩陣設定差異
778,AFJ-1078,2025-06-26 18:59,2025-06-26 23:40,220,230,10,281,取整/單位時間差異
